=== SUPABASE AUTH USERS ===
Auth ID: a4d7c258-90eb-4282-af32-60d0a44bc5b8 | Email: 923111234510@hunarmand.app | Phone: 923111234510
Auth ID: 9cfe6848-b08b-410e-88f4-4c42a1268ec9 | Email: 923111234509@hunarmand.app | Phone: 923111234509
Auth ID: add03cbb-c88c-477e-a943-5b4e4437fc8f | Email: juan@haazir.app | Phone: 923111234508
Auth ID: f342bb58-d946-4a7c-87bc-bcd74a02216c | Email: kashifcleaning@haazir.app | Phone: 923006666666
Auth ID: 747d203a-29f3-439e-957d-a82bfc1755ab | Email: babarcleaning@haazir.app | Phone: 923005555555
Auth ID: 97e81b87-9c1f-42b1-a897-f19891f07c0a | Email: alielectrician@haazir.app | Phone: 923004444444
Auth ID: eb07d391-34c1-4eb1-897b-6255b282d53c | Email: rizwanelectrician@haazir.app | Phone: 923003333333
Auth ID: 79fd593d-fb2f-4aae-a865-70ef151d4a92 | Email: usmanplumbing@haazir.app | Phone: 923002222222
Auth ID: a2417c1e-d0c6-4163-b0c7-afde83a6bbe9 | Email: zahidplumbing@haazir.app | Phone: 923001111111
Auth ID: 12bd359a-c4bb-4ce7-a9c8-223b4977fe28 | Email: 923111234511@haazir.app | Phone: 
Auth ID: 45f99f6c-c1d8-432a-9714-733035615394 | Email: +923157578780@haazir.app | Phone: 

=== PUBLIC.USERS ===
DB ID: eb07d391-34c1-4eb1-897b-6255b282d53c | Name: Rizwan Electrician | Phone: +923003333333 | Role: provider
DB ID: 97e81b87-9c1f-42b1-a897-f19891f07c0a | Name: Ali Electrician | Phone: +923004444444 | Role: provider
DB ID: 747d203a-29f3-439e-957d-a82bfc1755ab | Name: Babar Cleaning | Phone: +923005555555 | Role: provider
DB ID: f342bb58-d946-4a7c-87bc-bcd74a02216c | Name: Kashif Cleaning | Phone: +923006666666 | Role: provider
DB ID: 1186485d-a333-437f-805c-1d66d4215c6d | Name: Asjad | Phone: 9231234511 | Role: provider
DB ID: add03cbb-c88c-477e-a943-5b4e4437fc8f | Name: Juan | Phone: +923111234508 | Role: provider
DB ID: 9bf8cfbf-ee00-49e8-84a1-7d7df2a6db78 | Name: Test Customer | Phone: +923111234509 | Role: consumer
DB ID: a1cce444-2309-431c-896f-b0289c0d5914 | Name: Juan | Phone: 923111234508 | Role: provider
DB ID: c5e5b14c-43c3-4e13-a807-4321cfff4cef | Name: Provider G-13 | Phone: 03331234567 | Role: provider
DB ID: 3d2e73f4-10c4-48ad-a598-57c1e11b04fb | Name: Ali | Phone: 923111234567 | Role: provider
DB ID: 4912edcd-63a2-49e1-a770-8c128c127b5b | Name: Ali | Phone: 923111234569 | Role: provider
DB ID: 64e005d6-253c-474c-8caf-80f1b521c8c6 | Name: Ali | Phone: 923111234589 | Role: provider
DB ID: a4d7c258-90eb-4282-af32-60d0a44bc5b8 | Name: Test Provider | Phone: +923111234510 | Role: provider
DB ID: c0778282-9196-48a5-aa6a-1c310b12f5d5 | Name: Azmat | Phone: 923111234566 | Role: provider
DB ID: b323ad2a-6e45-4997-8ea4-16ec62fbec59 | Name: Sector I-9 Carpenter | Phone:  | Role: provider
DB ID: 12bd359a-c4bb-4ce7-a9c8-223b4977fe28 | Name: Ali | Phone: 923111234511 | Role: provider
DB ID: 454f8007-1fba-4057-8a45-2fa97af27545 | Name: Ali | Phone: 923123456789 | Role: provider
DB ID: 64d81ab0-efbd-4897-9ae2-ae5e77930f69 | Name: Ali Plumber | Phone: +923129988111 | Role: provider
DB ID: 1821d7ab-226c-4894-9c09-c6afde0ef230 | Name: Ali | Phone: 923129988112 | Role: provider
